Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-2.116582,-0.086196,9.357017,-0.02880859,0.01660156,1.01709,15.99951,15.99951,15.11475
2,-2.121371,-0.067041,9.34744,0.002441406,-0.002441406,0.9736328,15.99951,15.99951,15.09375
4,-2.130948,-0.07183,9.342651,0.006347656,0.01660156,0.9892578,15.99951,15.99951,15.09375
6,-2.126159,-0.086196,9.323497,-0.04052734,0.03222656,1.013184,15.99951,15.99951,15.09375
8,-2.126159,-0.076618,9.323497,-0.01708984,-0.002441406,0.9970703,15.99951,15.99951,15.12012
10,-2.126159,-0.062252,9.309131,-0.03271484,0.02050781,0.9853516,15.99951,15.99951,15.12012
12,-2.126159,-0.076618,9.323497,-0.000976563,0.03613281,0.9853516,15.99951,15.99951,15.12012
15,-2.126159,-0.07183,9.333074,0.02197266,0.008789063,0.9970703,15.99951,15.99951,15.12012
18,-2.135737,-0.067041,9.333074,-0.02880859,0.008789063,1.020996,15.99951,15.99951,15.1123
20,-2.145314,-0.086196,9.333074,-0.04833984,0.01660156,1.013184,15.99951,15.99951,15.1123
22,-2.130948,-0.07183,9.309131,-0.02490234,-0.01025391,0.9853516,15.99951,15.99951,15.1123
24,-2.130948,-0.081407,9.342651,0.006347656,-0.01416016,1.008789,15.99951,15.99951,15.1123
26,-2.121371,-0.076618,9.34744,-0.01318359,0.01269531,0.9931641,15.99951,15.99951,15.1123
28,-2.121371,-0.081407,9.309131,-0.008789063,0.01269531,1.008789,15.99951,15.99951,15.1123
30,-2.130948,-0.057464,9.323497,-0.008789063,0.02050781,1.000977,15.99951,15.99951,15.12012
32,-2.130948,-0.067041,9.318707,-0.02880859,0.01660156,0.9931641,15.99951,15.99951,15.12012
34,-2.135737,-0.076618,9.328285,0.006347656,0.000976563,1.004883,15.99951,15.99951,15.12012
36,-2.145314,-0.052675,9.342651,-0.008789063,0.02441406,1.004883,15.99951,15.99951,15.12012
38,-2.111794,-0.07183,9.304342,0.002441406,0.004882813,1.004883,15.99951,15.99951,15.12012
40,-2.126159,-0.076618,9.323497,-0.000976563,0.03222656,1.000977,15.99951,15.99951,15.12012
42,-2.140525,-0.067041,9.318707,-0.008789063,0.05224609,1.020996,15.99951,15.99951,15.12012
44,-2.135737,-0.076618,9.34744,-0.04833984,0.02832031,1.000977,15.99951,15.99951,15.10156
46,-2.121371,-0.07183,9.328285,-0.02880859,0.02832031,0.9970703,15.99951,15.99951,15.10156
48,-2.116582,-0.076618,9.294765,-0.004882813,0.004882813,0.9853516,15.99951,15.99951,15.10156
51,-2.140525,-0.086196,9.342651,-0.01708984,-0.01416016,1.000977,15.99951,15.99951,15.11475
53,-2.135737,-0.076618,9.318707,-0.000976563,-0.002441406,0.9892578,15.99951,15.99951,15.11475
55,-2.145314,-0.062252,9.328285,-0.008789063,-0.002441406,1.013184,15.99951,15.99951,15.11475
57,-2.298551,-0.114928,9.313919,-0.02490234,0.01269531,0.9814453,15.99951,15.99951,15.11475
59,-2.202778,-0.090984,9.294765,-0.004882813,-0.002441406,0.9736328,15.99951,15.99951,15.10449
61,-2.154891,-0.076618,9.304342,-0.000976563,0.02832031,0.9814453,15.99951,15.99951,15.10449
63,-2.116582,-0.090984,9.337862,-0.000976563,-0.006347656,0.9814453,15.99951,15.99951,15.10449
65,-2.150103,-0.081407,9.34744,-0.03271484,0.03222656,1.036621,15.99951,15.99951,15.10693
67,-2.140525,-0.081407,9.328285,-0.02880859,0.000976563,1.000977,15.99951,15.99951,15.10693
69,-2.150103,-0.081407,9.309131,-0.01318359,0.02441406,0.9814453,15.99951,15.99951,15.10693
71,-2.15968,-0.081407,9.318707,-0.01708984,0.000976563,0.9970703,15.99951,15.99951,15.10693
73,-2.145314,-0.086196,9.328285,-0.01708984,0.008789063,1.013184,15.99951,15.99951,15.12793
75,-2.140525,-0.081407,9.337862,-0.03662109,0.004882813,1.004883,15.99951,15.99951,15.12793
77,-2.135737,-0.076618,9.328285,-0.000976563,-0.002441406,1.024902,15.99951,15.99951,15.12793
79,-2.140525,-0.07183,9.304342,0.002441406,0.01660156,0.9931641,15.99951,15.99951,15.11768
81,-2.121371,-0.076618,9.337862,-0.03271484,-0.002441406,1.008789,15.99951,15.99951,15.11768
84,-2.130948,-0.07183,9.323497,-0.000976563,0.03222656,1.020996,15.99951,15.99951,15.11768
86,-2.145314,-0.076618,9.357017,-0.000976563,-0.002441406,1.000977,15.99951,15.99951,15.12012
88,-2.116582,-0.07183,9.333074,-0.01708984,0.04052734,1.01709,15.99951,15.99951,15.12012
90,-2.15968,-0.067041,9.328285,0.01025391,0.01660156,1.000977,15.99951,15.99951,15.12012
92,-2.140525,-0.07183,9.304342,-0.008789063,0.02050781,0.9970703,15.99951,15.99951,15.12012
94,-2.059118,-0.076618,9.352228,-0.008789063,-0.006347656,1.020996,15.99951,15.99951,15.11768
96,-2.044752,-0.062252,9.366594,-0.008789063,0.03222656,0.9736328,15.99951,15.99951,15.11768
98,-2.001655,-0.047886,9.371383,-0.004882813,0.02050781,1.000977,15.99951,15.99951,15.11768
100,-2.063907,-0.076618,9.333074,-0.01318359,0.000976563,1.008789,15.99951,15.99951,15.1123
102,-2.107005,-0.081407,9.357017,-0.02099609,0.03222656,0.9931641,15.99951,15.99951,15.1123
104,-2.111794,-0.07183,9.361806,-0.008789063,0.01660156,0.9614258,15.99951,15.99951,15.1123
106,-2.097428,-0.052675,9.361806,0.01806641,0.02050781,0.9853516,15.99951,15.99951,15.1123
108,-2.116582,-0.062252,9.34744,0.01806641,-0.006347656,0.9814453,15.99951,15.99951,15.11768
110,-2.116582,-0.076618,9.328285,-0.008789063,-0.006347656,0.9931641,15.99951,15.99951,15.11768
112,-2.039964,-0.067041,9.404903,-0.02099609,0.004882813,0.9853516,15.99951,15.99951,15.11768
114,-2.202778,0.014366,9.261244,0.002441406,0.02832031,1.008789,15.99951,15.99951,15.11768
117,-2.083062,-0.081407,9.376172,-0.008789063,0.02441406,0.9892578,15.99951,15.99951,15.11768
119,-2.188412,-0.081407,9.313919,0.01416016,0.04052734,1.008789,15.99951,15.99951,15.11768
121,-2.188412,-0.081407,9.304342,0.002441406,0.02832031,1.028809,15.99951,15.99951,15.12012
123,-2.145314,-0.062252,9.34744,0.002441406,0.01660156,0.9931641,15.99951,15.99951,15.12012
125,-2.145314,-0.07183,9.337862,-0.004882813,0.02832031,1.01709,15.99951,15.99951,15.12012
127,-2.130948,-0.067041,9.323497,-0.000976563,0.02050781,1.008789,15.99951,15.99951,15.12012
129,-2.140525,-0.076618,9.34744,0.006347656,0.02441406,1.01709,15.99951,15.99951,15.10938
131,-2.150103,-0.076618,9.323497,-0.01708984,-0.002441406,1.004883,15.99951,15.99951,15.10938
133,-2.130948,-0.062252,9.337862,-0.01708984,0.01660156,0.9931641,15.99951,15.99951,15.10938
135,-2.140525,-0.076618,9.342651,-0.01318359,0.01269531,1.020996,15.99951,15.99951,15.1123
137,-2.130948,-0.076618,9.323497,-0.000976563,0.01269531,1.020996,15.99951,15.99951,15.1123
139,-2.126159,-0.086196,9.337862,-0.000976563,0.008789063,1.004883,15.99951,15.99951,15.1123
141,-2.116582,-0.057464,9.323497,-0.01318359,0.008789063,0.9853516,15.99951,15.99951,15.1123
143,-2.102216,-0.07183,9.309131,0.01025391,0.000976563,0.9931641,15.99951,15.99951,15.11768
145,-2.121371,-0.086196,9.342651,-0.01708984,-0.002441406,0.9970703,15.99951,15.99951,15.11768
149,-2.08785,-0.081407,9.342651,-0.02880859,0.03613281,0.9970703,15.99951,15.99951,15.11768
